[0] 相关页面：术语集 | 俗语集
[1] 请善用左侧站内搜索以及Ctrl+F页面检索功能。
[305] 赖夏、祈就读的高一B班学园，在闩市内属于档次较高的院校。响原本也是该校学生，执行激斗战士任务后转学到明莉等人就读的学园。表面是普通学校，实际由想破出资创办，目的是让闪忍与候补者兼顾修行与学业，不脱离社会。特色课程是闪忍专属培训专业，简称闪忍科。闪忍科学生中，非闪忍、无闪忍资质者战时会集合作为普通民众志愿者支援。火之豪香、闪忍睦香会兼任特聘讲师，理事长为战部晴奈。每年举办名为月影祭的文化祭。
[306] 深界龙
[307] 辰遥岛出现的巨型巨龙，能改造周边环境与生物，将其转化为兵器。沙耶香推测是投放至外星、异世界单独作战的生物兵器。
[308] 神骑
[309] 神骑的作战服称作圣铠，专属武器称作神武。详情查阅九大神骑、地上神骑、天界神骑词条。
[310] 神骑医疗班
[311] 激斗战士组建、由神骑构成的战地医疗小队，负责现场急救、伤员转送医院。目前成员仅神骑，后续计划吸纳其他势力拥有医疗技能的队员。成员：塞拉菲埃尔、北极星、迪阿鲁鲁、基利埃尔、悠悠埃尔。
[312] 真月
[313] 《夜幕降临！》世界中，故事开篇三年前突然出现、散发苍蓝色光芒的第二轮月亮。
[314] 真·七暴
[315] 地位高于七暴的久世顶尖闪忍。虽名为七暴，但目前仅有闪忍蕾娜一人达标，暂无其他成员。
[316] 人魔
[317] 受魔力、神力影响，偏向恶魔一侧觉醒力量的人类，等同于恶魔版地上神骑。剧情登场角色有人魔伊芙等。
[318] 辰遥岛
[319] 冰村重工研究所所在地，阿尔法的诞生地，读音暂定为辰遥岛。
[320] 助战好友
[321] “设置后的角色可被其他玩家选为助战单位（页面左下角按钮设置）；自身出战时也能召唤其他玩家的助战角色，但助战角色必杀技固定为自动释放。”战斗开局可召唤其他玩家设置的助战角色，无视初始出战人数限制，能轻松突破开局时间限制，十分有利。
[322] 体力(ST)
[323] “挑战副本消耗体力，随时间自动恢复，也可消耗蝶矿石、道具快速回满。”
[324] 空间裂隙
[325] 连接人类世界与幻魔界的通道，幻魔的通行入口。
[326] 圣魔大战
[327] 神骑与堕天使、恶魔势力反复爆发的战争，依靠魔王转生机制，战火永远无法彻底平息。
[328] 雪月花
[329] 想破上弦众新生代七闪三位新人的合称，分别是花之千香、冰之静香、光之汐香。
[330] 现接之力
[331] 魔女独有的能力，可短暂强行将不属于本世界的魔力认定为本土力量，改写世界规则。魔女解释D充能，就是意志坚定者将自身现接之力分享给队友。刚毅的蕾维手中持有“倒吊人”塔罗牌，因此将时定称作连接者，缘由便在于此。现接之力可储存于承载人类愿望、思绪、信仰的器物中，剧情里阿隆的法杖、贤者之石复制品都属于这类载体。幻魔耗尽现接之力就无法维持实体存在。阿尔达克制造的机器人回路也依靠现接之力运作，该能量还会诱发动植物突变，可用于品种改良。
[332] 杀生石
[333] 犍陀罗术师打造、封印九尾狐的结界载体。百鬼夜行事件时隆起的岛屿，战国末期也曾是封印九尾狐的杀生石之一。杀生石具备吸收现接之力的特性，乌丸罗喉受朝廷委托改造，用以吸纳乱世百姓的负面情绪。
[334] 战果率
[335] 战斗中，敌方总HP削减比例称为战果率。B宇宙副本的奖励会根据战果率增减，副本失败界面显示的达成度与战果率为同一概念。
[336] 灭·上弦众
[337] “背叛想破上弦众、成为超昂战士敌人的忍者集团，由原上弦众忍者铁领导，目标铲除龙裔与掌握超昂之力的人。”“首领铁失踪后，在晴树的统领下重组为外道集团，追杀龙裔与上弦众成员，如今基本摒弃原有理念，沦为无法无天的暴徒团伙。”
[338] 全体攻击
[339] 攻击目标覆盖敌方或己方全体，无视护卫挡伤机制。系统判定中，无伤害的全体眩晕、全体异常状态施加也属于全体攻击；属性降低类减益效果不归类为全体攻击。
[340] 战斗速度设置
[341] “未通关副本即便选择3倍速，战斗速度会自动下调至2倍等效速度。※2021年8月18日出战设置更新后，未通关副本也可开启3倍速战斗。”
[342] 仓库整理
[343] 园崎明莉、高圆寺奈香等超昂战士隐藏身份的兼职工作，负责整理战利品仓库。实际开箱、整理战利品如同俄罗斯方块收纳的操作由玩家时定本人完成。
[344] 变身语
[345] 超昂闪忍的变身口令。
[346] 想破御三家
[347] 风月指导 猫屋敷家、武道指导 鬼神谷家、术式指导 白伏楼家三大家族。
[348] 想破上弦众
[349] “名为闪忍的超昂战士所属忍者组织之一。由被称作龙裔的异能者担任首领，数百年来隐于暗处守护日本和平。现任首领是来自未来的龙裔战部时定，暂代管理。闪忍均受过完整忍者训练，无资质者无法成为闪忍。”系列初代作品《超昂闪忍遥》首次登场的忍者组织，拥有忍犬、忍豚等伙伴。龙裔担任首领，暗中守护日本和平，现由穿越而来的龙裔战部时定临时接管。战斗单位闪忍需要与龙裔进行龙轮功（近似性行为）来获取、补充战斗能量。顺带一提，组织内还有后勤支援人员，善后部队甚至专门处理龙裔与闪忍在公共场合、野外开展龙轮功引发的各类纠纷。仅靠闪忍人手不足，因此还有普通忍者，曾经灭忍铁就是这批普通忍者的统领。普通忍者依靠修炼提炼体内查克拉强化肉身，极限爆发时实力可短暂媲美闪忍。（换言之，若以普通人为基准，闪忍的常规攻击都等同于必杀技威力。）组织掌握能无损救出被困异空间闪忍、消除身心后遗症的顶尖黑科技，某种意义上比龙裔本身更为离谱。原作《遥》中，组织长期对抗企图复活邪力诺洛伊的诺洛伊党；本作主线开篇诺洛伊党尚未现世，第二部起，从过去时间线穿越而来的诺洛伊党残余势力引发一系列战事。和其他势力最大区别在于，阿尔达克作乱前，组织成员同时拥有普通人社会身份，双线生活，变动极小。其他势力要么开战前只是普通民众，要么完全没有世俗身份。但组织原本规划闪忍仅少量培养，一次性觉醒数十人属于极端特例。组织奉行舍己为公、大义为先的贵族义务式思想，多数成员自幼被灌输无偿奉献的理念，存在半强制献身的一面。内部设有家族产业负责资金周转，组织自给自足；可对外支付报酬寻求合作，但不会收取外部酬金。部分成员对此理念产生抵触，脱离想破转投久世，因此上层与基层并非铁板一块。正是以特殊存在“龙裔”为核心，才维持住组织架构。忍者外传剧情中曾评价：“单论组织，久世反倒比想破更正常。”想破共有三十个古老世家，以下为部分名录：
[350] 想破旧家一览
[351] 负责经营产业、筹措组织资金的家族。锁链镰家初代是史上最强闪忍，但家族后代（含锁链）战斗天赋都极低；却代代怀揣重登最强闪忍的夙愿，立下家训：第四胎及以后的女儿必须接受闪忍修行，即便武道指导世家鬼神谷家也无法提升其战力。
[352] 上弦之乡历史悠久的名门，同时是首领战部的分家。先祖与妖怪缔结契约，获得能对抗首领的力量，因此加古野家是魔女血脉，魔力不激活时则以闪忍身份活动。响没有闪忍天赋，推测正是该家族特殊查克拉所致。睦香所知战国时代的加古野闪忍，精通水遁与破坏术，是顶尖好手。
[353] 负责武道教学、风纪监察的家族，先祖为追求力量与鬼结合，族人天生长角。
[354] 主要协助龙轮功、担任风月指导的家族，并非祖上对猫咪做过恶行（先祖行事诡秘），但族人天生长猫耳。
[355] 负责忍术、忍衣、忍具研发的术式指导家族，与鬼神谷家、猫屋敷家并称想破御三家。
[356] 驯忍犬、培育忍犬的家族，先祖肆意利用、屠戮犬只遭诅咒，族人天生长犬耳。
[357] 侍奉想破各大世家、协调人际关系的佣人世家。
[358] 想破七闪
[359] “想破上弦众中实力顶尖的七名闪忍，由首领亲自选拔。”从想破上弦众筛选出的七位精英，是组织下一代支柱，也会吸纳判断力出众、负责新人培育的成员，因此排名不完全代表战力高低。序列通过内部商议、上层（原本为首领）裁定，不举办排位战。根据官方第425期开发日志：“火借风势，愈燃愈烈”对应一、二位；“雪、月、花”对应三、四、五位；“土与林”对应六、七位，三组各自擅长联合作战。
[360] 想破七闪一览
[361] 第一位：火之豪香
[362] 第二位：风之风香
[363] 第三位：冰之静香
[364] 第四位：光之汐香
[365] 第五位：花之千香
[366] 第六位：土之奥香
[367] 第七位：林之彩香
[368] た行 †
[369] 第十三特种部队
[370] 由自称智商超2000的精英指挥官担任队长，集结各部队精锐富曼组成的精英小队。势力先后依附阿尔达克、奥尔特纳斯坦，如今独立，但凡牵扯魔女（NAU，特指艾莉）的活动基本都有其戏份。队长精英指挥官拥有离谱天赋：能即兴破解激斗战士数月无法攻克的SDDD系统、数秒改写濒临自爆的M型仿生人程序阻止爆炸；后续剧情揭露他同时也是创业能手，接连创办多家企业取得成功。制造的事件大多偏向搞笑闹剧，但放任不管都会引发重大灾难，激斗战士与其虽是孽缘，依旧将其列为警戒势力。详情查阅精英指挥官词条。
[371] 激斗群星
[372] 米娜所在世界的破球赛事队伍，米娜评价队内多粗暴打法，常年稳居B级。计划拿下破球联赛冠军以此征服世界，借助玛迪恩开启的跨世界调查传送门来到激斗战士世界。
[373] 激斗战士
[374] “正式全称「Defence imperative to earth beat forces」，简称激斗战士（DIE-BEAT）。由战部时定与优乃在君枝资助下成立的防卫组织。目标抵御现代人类无法应对的外来入侵，避免世界走向毁灭未来。总部改造自废弃综合游乐设施。”本作主角时定与优乃为对抗阿尔达克创立的组织，绝大多数可游玩角色都隶属于或借调至此。原本时间线中，各大势力各自为战对抗阿尔达克，分别被逐个击破，弱点暴露无遗：缺少成熟政治战略底盘、无法应对多线同步进攻、能量供给渠道被切断。激斗战士吸取教训，开战初期主动联络普通民众、搭建跨势力合作体系，争取人类胜利的未来。初期与国防陆军、上弦众达成合作，后续虽产生摩擦，但也与天界、NAU建立同盟，还吸纳偶然相遇的异世界来客，成长为庞大联合势力。为保护成员隐私、避免现实生活受影响，所有个人信息列为最高机密，采用轮班制平衡日常与战斗。吸取过去孤立民众导致战败的教训，主动开展线下交流、网络宣传，构建民间协作网络。第一部主线结束后，主力转为清缴残余敌军，编制缩减，但仍常备人员应对突发危机（以此警示避免像原时间线战士们放松警惕而全军覆没）。遵循时定定下的准则：组织仅对抗外来侵略者，不会主动处置普通刑事案件；偶遇犯罪仅以普通民间组织身份报警、救助受害者。第二部伴随新敌人新诺洛伊党、诺洛伊碎片异变的怪忍登场，组织重组再度迎战。
[375] 激斗战士基地
[376] 坐落于闩市的激斗战士总部，由大型商业综合体大规模改造而成。近期克萝伊策划、NAU出资翻新开设温泉度假村。
[377] 激斗战士航空基地
[378] 修建于鎹市的跨洲作战据点，部署登陆飞艇大弥赛亚，配套D充能专用房间等设施。
[379] 激斗战士宣传班
[380] 第二部完结后，菲莉妮亚被任命为官方宣传负责人，组建宣传班。成员：菲莉妮（队长）、明莉、龙胆、翔子。
[381] 时间之门
[382] 时定从未来穿越至现代所使用的装置，启动消耗巨量能量，连天照神都仅能单程通行。第二部中利用该装置抽取诺洛伊残留能量。
[383] 盛放花蕾
[384] “消耗后可作为极限突破点数使用，也能用于抽取未拥有角色。”
[385] 章鱼
[386] 与维卡缔结婚姻的章鱼型外星王族，现隶属于久世上弦众，同时执行未知星球勘探任务。偶像公主总选举排名48位，是久世成员中名次最高者。本名「塔科科塔·可可」，实际为女性。
[387] 雷霆Z
[388] 魔女与想破上弦众部分成员联手研发的强效精力药剂，不遵守用量会危及性命。失败品名为塔塔纳库纳尔。
[389] 堕天使
[390] 背离神骑、夺取魔力的天使，不满人类取代天使统治地面，登场于《超昂神骑艾克希尔》。
[391] 堕天同盟提鲁斯
[392] 第三部敌方组织，盟主为反转艾克希尔，其余成员：神前、奥斯威尔、斯雷特、堕天米卡菲尔、部分反魔王派恶魔等，战力也会动用魔影。
[393] 地上神骑
[394] “承受魔王之力、获得神骑能力的人类统称，自身潜藏的欲望决定外形与能力。”本作世界的魔王（是否等同于《超昂神骑艾克希尔》主角央堂继彦同位存在暂不明确）已被讨伐，但地上神骑是残留魔王魔力寄宿人类后觉醒诞生。第三章剧情完整讲述大量地上神骑集体觉醒的缘由。换言之，除去异世界穿越角色，神骑系角色基本在第三章之后才加入队伍。
[395] 蝶矿石
[396] “用于扭蛋、恢复体力等，显示持有总量。分为免费蝶矿石（活动、副本奖励获取）与付费蝶矿石（DMM点券购买），部分功能仅付费矿石可用。扭蛋界面、玩家信息页可查看两类矿石各自数量。”俗称激斗矿石，时定原本所处的未来时代该资源已枯竭。蕴含特殊能量，是激斗传送门同位召唤的基础介质；液态化后用途广泛。与富曼矿石发生反应时会开启异世界通道，引发大规模骚乱。
[397] 超昂战士
[398] “依靠亲密行为获取力量、变身作战的战士统称。各势力变身方式、力量名称、体系各不相同，但核心共通点都是「依靠亲密变强的变身少女」。”变身前后存在认知干扰机制，普通人难以辨认同一人，超昂战士之间也会受到一定影响。
[399] 超昂变身
[400] 历代主线女主角专属的终极强化决战形态，以及切换该形态的变身统称。源头为天使光辉艾斯克雷尔，历代正传作品女主角主线都会解锁对应变身。《超昂闪忍遥》《超昂神骑艾克希尔》直接沿用作品同名称呼；本作原创角色的超昂变身命名格式为「超昂XX姬」，命名逻辑假设该角色拥有专属独立作品的标题。游戏定期开启超昂祭活动，活动期间新增或复刻限定角色。
[401] 超人计划
[402] 某国研究所开展的实验，目标制造异能人类。研究所被毁，幸存实验体（维卡、斯威特、小妹1024等）被久世上弦众收容保护。
[403] 缇阿拉
[404] 粉丝超三百万的顶级视频主播，菲莉妮的憧憬对象，年龄二十多岁后半。
[405] 每日副本
[406] “除周日外每日可挑战两次，最多出战20人，挑战次数可累计至次日留存两次。副本消耗体力低于普通关卡。”
[407] 死亡驯鹿
[408] 异世界诺鲁温人类的敌人，外形长驯鹿角的富曼，存在BOSS死亡驯鹿王，将桑塔族与全人类视作坏孩子发动袭击。
[409] 撤退
[410] “战斗中拖动单位图标向下即可撤退；出战前角色带有「GO！」标识，无法中途撤退。”
[411] 灾厄魔物
[412] 魔法新娘的敌对单位。
[413] 天界
[414] “天照麾下神骑居住的异次元空间，悬浮于高空，常规状态下无法被感知。”
[415] 天界神骑
[416] “受天照神命令、讨伐魔王的天使。在地面施展力量需要依靠D充能，与激斗战士为同盟。”原本天界能源源输送神力，实力极强，但本作剧情中神力遭到大幅限制，因此必须依靠D充能。详情查阅主线第三章。神骑阵亡后，会以相同外貌、保留少量记忆转世重生。天界律法禁止神骑与人类繁衍后代。
[417] 天下第一大小姐争霸赛
[418] 一年一度决出顶尖千金的赛事，冠军授予天下第一大小姐称号。两年前冠军雪城艾莉，去年冠军安生地聪里；市内一家同名连锁拉面店被奉为赛事圣地。
[419] 天空洞窟
[420] 龙裔修行洞窟，用于向闪忍灌注超昂闪忍之力，土之奥香在此看守。空间残留龙裔与诺洛伊分化时遗留的执念、迷茫、祈愿，近似世界本源意识；这份意识在祈吸收力量后彻底消散。
[421] 同位存在
